Crop,Symptoms,Disease,Severity
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Critical
Banana,"Premature fruit drop, Black lesions, Brown spots on leaves",Black Sigatoka,Low
Wheat,Yellow leaves,Root Rot,Low
Groundnut,"Yellow leaves, Brown spots on leaves, Premature fruit drop",Leaf Spot,Medium
Tomato,"Black lesions, Water-soaked patches, Fruit discoloration",Late Blight,Low
Cotton,"Stunted growth, Yellow leaves, Leaf curl",Wilt,Medium
Soybean,"Stunted growth, Wilting stems",Root Rot,Critical
Banana,"Wilting stems, Yellow leaves",Panama Disease,Medium
Cotton,"Wilting stems, Yellow leaves",Wilt,Critical
Tomato,"Stunted growth, Leaf curl, Yellow leaves, Premature fruit drop",Leaf Curl,Medium
Sugarcane,Brown spots on leaves,Rust,Medium
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,Medium
Cotton,"Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Rice,"Brown spots on leaves, Black lesions, Stunted growth, White powder on leaves",Blast,Critical
Banana,Black lesions,Black Sigatoka,Medium
Potato,"Water-soaked patches, Black lesions, Wilting stems",Late Blight,High
Wheat,"White powder on leaves, Water-soaked patches",Powdery Mildew,Low
Wheat,"Yellow leaves, White powder on leaves, Premature fruit drop",Powdery Mildew,High
Tomato,Black lesions,Late Blight,Critical
Wheat,Rusty orange pustules,Leaf Rust,Critical
Cotton,Wilting stems,Wilt,Medium
Banana,Wilting stems,Panama Disease,Critical
Mango,Premature fruit drop,Anthracnose,Low
Tomato,"Yellow leaves, Premature fruit drop",Leaf Curl,Medium
Tomato,"Water-soaked patches, Wilting stems",Late Blight,Medium
Wheat,"Root rot, Stunted growth, Yellow leaves",Root Rot,Low
Cotton,"Stunted growth, Yellow leaves",Wilt,Critical
Tomato,Water-soaked patches,Late Blight,High
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,Critical
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Sugarcane,"Yellow leaves, Stunted growth, Wilting stems",Red Rot,Low
Soybean,"Wilting stems, Stunted growth, Root rot",Root Rot,Low
Maize,"Black lesions, Wilting stems",Leaf Blight,Medium
Banana,"Black lesions, Brown spots on leaves, Leaf curl",Black Sigatoka,Low
Grapes,White powder on leaves,Downy Mildew,High
Tomato,Stunted growth,Leaf Curl,Medium
Soybean,Premature fruit drop,Rust,Low
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Groundnut,Premature fruit drop,Rust,Low
Groundnut,"Yellow leaves, Premature fruit drop, Brown spots on leaves",Leaf Spot,High
Rice,"Black lesions, Stunted growth, Brown spots on leaves, Premature fruit drop",Blast,Low
Soybean,"Premature fruit drop, Rusty orange pustules, Brown spots on leaves",Rust,Critical
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,High
Groundnut,"Yellow leaves, Premature fruit drop",Leaf Spot,Low
Cotton,"Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Wheat,"Rusty orange pustules, Yellow leaves, Root rot",Leaf Rust,Low
Grapes,"White powder on leaves, Stunted growth, Root rot",Powdery Mildew,Low
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Critical
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Low
Soybean,"Yellow leaves, Premature fruit drop, Rusty orange pustules",Rust,Critical
Tomato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Banana,"Yellow leaves, Root rot, Wilting stems, Brown spots on leaves",Panama Disease,Medium
Groundnut,"Premature fruit drop, White powder on leaves",Rust,High
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Cotton,"Stunted growth, Wilting stems",Wilt,Medium
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Low
Maize,"Yellow leaves, Brown spots on leaves",Leaf Blight,Critical
Maize,Wilting stems,Leaf Blight,Critical
Cotton,"Stunted growth, Leaf curl",Wilt,Medium
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,High
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Critical
Maize,"Yellow leaves, Wilting stems, Black lesions, Brown spots on leaves",Leaf Blight,Medium
Wheat,White powder on leaves,Powdery Mildew,High
Tomato,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Early Blight,Critical
Sugarcane,Rusty orange pustules,Rust,High
Groundnut,Brown spots on leaves,Leaf Spot,High
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves",Downy Mildew,Critical
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves",Downy Mildew,Medium
Maize,"Black lesions, Yellow leaves",Leaf Blight,Critical
Cotton,Black lesions,Bacterial Blight,Medium
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,Medium
Groundnut,Brown spots on leaves,Leaf Spot,High
Tomato,"Leaf curl, Yellow leaves, Stunted growth, Fruit discoloration",Leaf Curl,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Cotton,"Yellow leaves, Stunted growth, Wilting stems",Wilt,Low
Maize,Yellow leaves,Leaf Blight,High
Groundnut,Premature fruit drop,Leaf Spot,Critical
Cotton,"Water-soaked patches, Premature fruit drop, Black lesions",Bacterial Blight,High
Banana,"Black lesions, Brown spots on leaves, Premature fruit drop",Black Sigatoka,Critical
Mango,"Fruit discoloration, White powder on leaves, Water-soaked patches",Powdery Mildew,High
Mango,"Fruit discoloration, Premature fruit drop",Anthracnose,Low
Groundnut,"Premature fruit drop, Brown spots on leaves",Leaf Spot,High
Mango,"Fruit discoloration, Premature fruit drop, Black lesions",Anthracnose,Low
Groundnut,Yellow leaves,Leaf Spot,Low
Rice,"Water-soaked patches, Wilting stems",Bacterial Blight,Low
Rice,Wilting stems,Bacterial Blight,Medium
Wheat,"Root rot, Yellow leaves",Root Rot,Low
Potato,Black lesions,Late Blight,Medium
Banana,"Brown spots on leaves, Black lesions",Black Sigatoka,High
Mango,Fruit discoloration,Powdery Mildew,High
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Medium
Potato,Yellow leaves,Early Blight,Critical
Soybean,"Yellow leaves, Rusty orange pustules, Fruit discoloration",Rust,High
Soybean,"Wilting stems, Stunted growth",Root Rot,Critical
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,High
Tomato,"Stunted growth, Leaf curl, Yellow leaves, Premature fruit drop",Leaf Curl,Medium
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Low
Rice,"Water-soaked patches, Wilting stems, Yellow leaves",Bacterial Blight,Critical
Grapes,Yellow leaves,Downy Mildew,Low
Grapes,"White powder on leaves, Fruit discoloration, Stunted growth",Powdery Mildew,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Wheat,White powder on leaves,Powdery Mildew,Low
Soybean,"Rusty orange pustules, Yellow leaves",Rust,Critical
Sugarcane,Yellow leaves,Red Rot,Medium
Tomato,"Yellow leaves, Stunted growth",Leaf Curl,Low
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Medium
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Low
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Mango,"Fruit discoloration, Rusty orange pustules",Powdery Mildew,Critical
Rice,Wilting stems,Bacterial Blight,Critical
Potato,Black lesions,Late Blight,Medium
Cotton,"Wilting stems, Stunted growth, Yellow leaves",Wilt,High
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,Low
Banana,"Brown spots on leaves, Black lesions",Black Sigatoka,High
Maize,"Yellow leaves, Wilting stems, Black lesions, Brown spots on leaves",Leaf Blight,Medium
Tomato,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Early Blight,Medium
Grapes,White powder on leaves,Powdery Mildew,Critical
Sugarcane,Stunted growth,Red Rot,Low
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Wheat,"Stunted growth, Root rot",Root Rot,Medium
Tomato,"Black lesions, Fruit discoloration",Late Blight,Medium
Sugarcane,"Stunted growth, Rusty orange pustules",Red Rot,Low
Tomato,Brown spots on leaves,Early Blight,Critical
Mango,"Black lesions, Fruit discoloration",Anthracnose,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Critical
Sugarcane,"Rusty orange pustules, Fruit discoloration",Rust,High
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Maize,Yellow leaves,Leaf Blight,High
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves",Red Rot,High
Banana,Wilting stems,Panama Disease,Medium
Cotton,Water-soaked patches,Bacterial Blight,High
Banana,"Wilting stems, Water-soaked patches",Panama Disease,Low
Cotton,"Premature fruit drop, Water-soaked patches",Bacterial Blight,Critical
Maize,"Black lesions, Yellow leaves, Wilting stems",Leaf Blight,Medium
Banana,"Brown spots on leaves, Premature fruit drop",Black Sigatoka,Medium
Rice,Brown spots on leaves,Brown Spot,Critical
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,Medium
Sugarcane,Rusty orange pustules,Rust,High
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Low
Mango,Fruit discoloration,Anthracnose,Low
Rice,"Black lesions, Wilting stems",Blast,Critical
Maize,Wilting stems,Leaf Blight,Medium
Potato,"Black lesions, Wilting stems, Water-soaked patches",Late Blight,Low
Potato,Stunted growth,Black Scurf,High
Tomato,"Black lesions, Fruit discoloration, Water-soaked patches",Late Blight,Medium
Soybean,"Stunted growth, Root rot, Fruit discoloration",Root Rot,Critical
Potato,Water-soaked patches,Late Blight,Medium
Potato,Black lesions,Black Scurf,Medium
Rice,"Yellow leaves, Brown spots on leaves, Wilting stems",Brown Spot,High
Potato,"Stunted growth, Black lesions, Rusty orange pustules",Black Scurf,Critical
Groundnut,"Yellow leaves, Premature fruit drop, Black lesions",Leaf Spot,Critical
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,High
Rice,"Stunted growth, Black lesions",Blast,High
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Critical
Grapes,"White powder on leaves, Premature fruit drop, Yellow leaves",Downy Mildew,Critical
Groundnut,Brown spots on leaves,Leaf Spot,High
Wheat,"Yellow leaves, White powder on leaves, Root rot",Powdery Mildew,High
Potato,"Black lesions, Stunted growth",Black Scurf,High
Potato,"Black lesions, Water-soaked patches",Late Blight,Critical
Rice,"Yellow leaves, Water-soaked patches",Bacterial Blight,Low
Potato,"Black lesions, Stunted growth",Black Scurf,High
Potato,Brown spots on leaves,Early Blight,Medium
Mango,Black lesions,Anthracnose,Medium
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop, Root rot",Black Sigatoka,High
Rice,"Brown spots on leaves, Black lesions",Blast,High
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,High
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Rice,"Wilting stems, Yellow leaves, Water-soaked patches",Bacterial Blight,High
Groundnut,Rusty orange pustules,Rust,High
Maize,Rusty orange pustules,Common Rust,High
Tomato,"Water-soaked patches, Fruit discoloration, Black lesions",Late Blight,Low
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Critical
Cotton,Stunted growth,Wilt,Medium
Cotton,"Water-soaked patches, Black lesions",Bacterial Blight,Low
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,High
Soybean,"Premature fruit drop, Yellow leaves",Rust,Critical
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Medium
Mango,"Fruit discoloration, White powder on leaves, Leaf curl",Powdery Mildew,Critical
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Rust,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Medium
Rice,Yellow leaves,Bacterial Blight,Low
Maize,"Wilting stems, Black lesions",Leaf Blight,Medium
Grapes,White powder on leaves,Downy Mildew,High
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,Critical
Banana,"Brown spots on leaves, Premature fruit drop, Black lesions",Black Sigatoka,Medium
Grapes,White powder on leaves,Powdery Mildew,High
Banana,"Brown spots on leaves, Premature fruit drop",Black Sigatoka,High
Wheat,"Yellow leaves, White powder on leaves, Water-soaked patches",Powdery Mildew,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Low
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Critical
Groundnut,Yellow leaves,Leaf Spot,High
Mango,Premature fruit drop,Anthracnose,Low
Tomato,"Leaf curl, Yellow leaves, Stunted growth",Leaf Curl,Medium
Rice,Wilting stems,Bacterial Blight,Critical
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,High
Maize,"Wilting stems, Black lesions",Leaf Blight,High
Rice,Yellow leaves,Bacterial Blight,High
Tomato,"Yellow leaves, Leaf curl, Stunted growth",Leaf Curl,Critical
Tomato,Stunted growth,Leaf Curl,Critical
Maize,"Black lesions, Yellow leaves",Leaf Blight,Low
Soybean,"Yellow leaves, Premature fruit drop",Rust,Medium
Grapes,Fruit discoloration,Powdery Mildew,Critical
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,Medium
Potato,"Stunted growth, Black lesions",Black Scurf,Critical
Potato,Water-soaked patches,Late Blight,High
Sugarcane,"Rusty orange pustules, Brown spots on leaves, Fruit discoloration",Rust,High
Banana,"Root rot, Wilting stems",Panama Disease,Critical
Groundnut,Rusty orange pustules,Rust,Medium
Sugarcane,"Yellow leaves, Stunted growth, Wilting stems",Red Rot,Critical
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Medium
Cotton,"Black lesions, Premature fruit drop",Bacterial Blight,Medium
Soybean,"Rusty orange pustules, Yellow leaves, Premature fruit drop",Rust,Low
Grapes,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Banana,"Yellow leaves, Wilting stems, Root rot",Panama Disease,Critical
Grapes,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Soybean,Rusty orange pustules,Rust,Low
Soybean,"Root rot, Stunted growth",Root Rot,Low
Tomato,"Leaf curl, Yellow leaves, Stunted growth",Leaf Curl,Critical
Banana,Premature fruit drop,Black Sigatoka,Low
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Medium
Wheat,"Stunted growth, Root rot, Yellow leaves",Root Rot,Critical
Soybean,"Yellow leaves, Premature fruit drop",Rust,High
Banana,"Brown spots on leaves, Premature fruit drop, Leaf curl",Black Sigatoka,High
Groundnut,"Premature fruit drop, Leaf curl",Rust,Critical
Cotton,"Water-soaked patches, Premature fruit drop",Bacterial Blight,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Wheat,Root rot,Root Rot,Critical
Mango,Black lesions,Anthracnose,Critical
Soybean,Yellow leaves,Rust,High
Grapes,Yellow leaves,Downy Mildew,Critical
Rice,"Water-soaked patches, Wilting stems, Yellow leaves",Bacterial Blight,Medium
Cotton,"Yellow leaves, Wilting stems, Stunted growth",Wilt,Low
Sugarcane,Wilting stems,Red Rot,Low
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Maize,Yellow leaves,Leaf Blight,Critical
Sugarcane,"Wilting stems, Yellow leaves",Red Rot,High
Soybean,"Wilting stems, Root rot, Stunted growth",Root Rot,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Grapes,Stunted growth,Powdery Mildew,Critical
Rice,"Water-soaked patches, Yellow leaves",Bacterial Blight,Low
Potato,Black lesions,Black Scurf,Critical
Cotton,Premature fruit drop,Bacterial Blight,Medium
Wheat,Yellow leaves,Leaf Rust,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Critical
Potato,Black lesions,Black Scurf,Low
Grapes,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Soybean,"Stunted growth, Wilting stems",Root Rot,Critical
Tomato,Brown spots on leaves,Early Blight,Low
Mango,Black lesions,Anthracnose,Low
Cotton,Water-soaked patches,Bacterial Blight,Critical
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,High
Soybean,"Rusty orange pustules, Premature fruit drop, Yellow leaves",Rust,Critical
Soybean,"Stunted growth, Wilting stems",Root Rot,Critical
Banana,Black lesions,Black Sigatoka,Critical
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Medium
Grapes,Fruit discoloration,Powdery Mildew,Medium
Rice,"Stunted growth, Black lesions",Blast,High
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Rust,Critical
Rice,"Stunted growth, Brown spots on leaves, Black lesions",Blast,Low
Grapes,"Premature fruit drop, White powder on leaves, Yellow leaves",Downy Mildew,Low
Rice,Yellow leaves,Bacterial Blight,Medium
Grapes,White powder on leaves,Powdery Mildew,Low
Rice,"Yellow leaves, Water-soaked patches, Wilting stems, Rusty orange pustules",Bacterial Blight,High
Tomato,"Yellow leaves, Leaf curl, Stunted growth",Leaf Curl,High
Grapes,"Stunted growth, Fruit discoloration, White powder on leaves",Powdery Mildew,Critical
Sugarcane,Wilting stems,Red Rot,Medium
Grapes,Yellow leaves,Downy Mildew,High
Mango,"Premature fruit drop, Fruit discoloration, Black lesions",Anthracnose,Low
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Low
Mango,White powder on leaves,Powdery Mildew,Medium
Grapes,Fruit discoloration,Powdery Mildew,Low
Maize,Brown spots on leaves,Common Rust,Medium
Potato,Black lesions,Black Scurf,Critical
Grapes,"White powder on leaves, Root rot",Downy Mildew,Critical
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,High
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,High
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,Critical
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,High
Wheat,Stunted growth,Root Rot,High
Rice,"Yellow leaves, Water-soaked patches",Brown Spot,High
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Maize,"Black lesions, Wilting stems",Leaf Blight,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Grapes,"White powder on leaves, Premature fruit drop, Yellow leaves",Downy Mildew,Medium
Soybean,"Yellow leaves, Premature fruit drop",Rust,Critical
Mango,Premature fruit drop,Anthracnose,High
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,Low
Wheat,Yellow leaves,Leaf Rust,Medium
Groundnut,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Leaf Spot,Low
Maize,"Brown spots on leaves, Black lesions",Common Rust,Medium
Banana,Brown spots on leaves,Black Sigatoka,Low
Groundnut,Premature fruit drop,Rust,Critical
Grapes,"Fruit discoloration, Wilting stems",Powdery Mildew,Critical
Cotton,"Stunted growth, Yellow leaves, Wilting stems",Wilt,High
Groundnut,Premature fruit drop,Leaf Spot,Medium
Cotton,"Stunted growth, Wilting stems",Wilt,Critical
Wheat,Root rot,Root Rot,Low
Tomato,"Water-soaked patches, Black lesions",Late Blight,Medium
Sugarcane,"Yellow leaves, Stunted growth",Red Rot,Critical
Rice,"Water-soaked patches, Yellow leaves",Bacterial Blight,Low
Groundnut,"Premature fruit drop, Brown spots on leaves",Leaf Spot,Critical
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,High
Grapes,Premature fruit drop,Downy Mildew,Critical
Sugarcane,"Yellow leaves, Wilting stems, Premature fruit drop",Red Rot,Critical
Cotton,"Premature fruit drop, Black lesions, Water-soaked patches",Bacterial Blight,High
Rice,"Black lesions, Stunted growth",Blast,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Soybean,"Root rot, Brown spots on leaves",Root Rot,Medium
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves",Powdery Mildew,Critical
Grapes,"Stunted growth, Fruit discoloration, White powder on leaves, Leaf curl",Powdery Mildew,Low
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,High
Sugarcane,Rusty orange pustules,Rust,High
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,High
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Critical
Potato,Stunted growth,Black Scurf,Low
Mango,Fruit discoloration,Powdery Mildew,Critical
Tomato,"Premature fruit drop, Brown spots on leaves",Early Blight,Critical
Mango,White powder on leaves,Powdery Mildew,High
Tomato,"Yellow leaves, Premature fruit drop, Brown spots on leaves",Early Blight,High
Soybean,"Stunted growth, Root rot",Root Rot,High
Cotton,Yellow leaves,Wilt,Critical
Tomato,"Leaf curl, Stunted growth, Yellow leaves",Leaf Curl,Low
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,High
Potato,"Yellow leaves, Brown spots on leaves, Rusty orange pustules",Early Blight,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Soybean,Wilting stems,Root Rot,Medium
Sugarcane,Yellow leaves,Red Rot,Low
Mango,White powder on leaves,Powdery Mildew,Critical
Soybean,"Root rot, Wilting stems",Root Rot,High
Cotton,"Wilting stems, Yellow leaves, Stunted growth",Wilt,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Medium
Sugarcane,Brown spots on leaves,Rust,Medium
Banana,"Root rot, Wilting stems",Panama Disease,Critical
Tomato,Yellow leaves,Leaf Curl,Low
Mango,Fruit discoloration,Powdery Mildew,Medium
Mango,"Fruit discoloration, Water-soaked patches",Powdery Mildew,Critical
Soybean,Yellow leaves,Rust,Medium
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,Low
Tomato,"Stunted growth, Leaf curl",Leaf Curl,Critical
Tomato,"Premature fruit drop, Brown spots on leaves",Early Blight,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Soybean,"Root rot, Wilting stems",Root Rot,Low
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,Critical
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,Low
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,High
Maize,"Rusty orange pustules, Brown spots on leaves, Wilting stems",Common Rust,Critical
Grapes,White powder on leaves,Downy Mildew,Critical
Cotton,"Yellow leaves, Stunted growth, Wilting stems",Wilt,Medium
Soybean,Root rot,Root Rot,High
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,High
Groundnut,"Rusty orange pustules, Premature fruit drop, Black lesions",Rust,Critical
Potato,Black lesions,Black Scurf,High
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Medium
Cotton,"Premature fruit drop, Black lesions, Water-soaked patches",Bacterial Blight,Critical
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,Low
Banana,"Yellow leaves, Wilting stems",Panama Disease,Medium
Potato,Black lesions,Black Scurf,Critical
Mango,"Premature fruit drop, Black lesions, Fruit discoloration",Anthracnose,Low
Sugarcane,"Stunted growth, Wilting stems",Red Rot,Low
Rice,"Yellow leaves, Water-soaked patches, Wilting stems",Bacterial Blight,Medium
Grapes,Stunted growth,Powdery Mildew,Medium
Rice,"Brown spots on leaves, Stunted growth, Black lesions",Blast,Low
Maize,Black lesions,Leaf Blight,Critical
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,Low
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Medium
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,Critical
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Banana,"Premature fruit drop, Black lesions",Black Sigatoka,High
Banana,Black lesions,Black Sigatoka,High
Soybean,"Root rot, Stunted growth, Fruit discoloration",Root Rot,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Medium
Tomato,"Black lesions, Fruit discoloration, Water-soaked patches, Stunted growth",Late Blight,Medium
Mango,"Black lesions, Premature fruit drop",Anthracnose,Medium
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,High
Tomato,"Black lesions, Fruit discoloration, Root rot",Late Blight,High
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,Critical
Rice,Wilting stems,Bacterial Blight,Medium
Groundnut,Rusty orange pustules,Rust,High
Potato,Yellow leaves,Early Blight,Critical
Cotton,Premature fruit drop,Bacterial Blight,High
Wheat,White powder on leaves,Powdery Mildew,Critical
Grapes,Premature fruit drop,Downy Mildew,Critical
Tomato,"Fruit discoloration, Black lesions, Water-soaked patches, Root rot",Late Blight,High
Soybean,"Wilting stems, Root rot",Root Rot,Low
Cotton,Wilting stems,Wilt,Medium
Soybean,"Rusty orange pustules, Yellow leaves",Rust,High
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,High
Cotton,"Wilting stems, Stunted growth, Yellow leaves",Wilt,Critical
Cotton,Stunted growth,Wilt,High
Potato,"Black lesions, Leaf curl",Black Scurf,Critical
Sugarcane,Rusty orange pustules,Rust,High
Rice,"Black lesions, Stunted growth",Blast,Critical
Potato,"Black lesions, Stunted growth",Black Scurf,Low
Soybean,"Rusty orange pustules, Yellow leaves, Premature fruit drop",Rust,Critical
Potato,"Brown spots on leaves, Yellow leaves, Rusty orange pustules",Early Blight,High
Groundnut,Premature fruit drop,Rust,Low
Mango,White powder on leaves,Powdery Mildew,Critical
Maize,Yellow leaves,Leaf Blight,High
Soybean,"Stunted growth, Root rot, Wilting stems",Root Rot,Medium
Tomato,Yellow leaves,Early Blight,Low
Soybean,Premature fruit drop,Rust,Low
Cotton,Stunted growth,Wilt,High
Maize,"Black lesions, Yellow leaves",Leaf Blight,Low
Maize,"Wilting stems, Black lesions",Leaf Blight,Critical
Rice,"Wilting stems, Water-soaked patches",Bacterial Blight,Critical
Mango,Black lesions,Anthracnose,Low
Maize,Brown spots on leaves,Common Rust,High
Grapes,"Yellow leaves, Premature fruit drop",Downy Mildew,High
Groundnut,"Premature fruit drop, Root rot",Rust,Critical
Sugarcane,"Yellow leaves, Stunted growth",Red Rot,Critical
Banana,"Premature fruit drop, Rusty orange pustules",Black Sigatoka,Critical
Groundnut,"Premature fruit drop, Yellow leaves, Black lesions",Leaf Spot,Medium
Mango,Premature fruit drop,Anthracnose,Critical
Rice,Yellow leaves,Brown Spot,Critical
Maize,Black lesions,Leaf Blight,Medium
Grapes,"White powder on leaves, Stunted growth, Black lesions",Powdery Mildew,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,High
Rice,Yellow leaves,Bacterial Blight,Critical
Rice,"Brown spots on leaves, Black lesions",Blast,Low
Cotton,Black lesions,Bacterial Blight,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,High
Mango,"Fruit discoloration, Black lesions, Water-soaked patches",Anthracnose,Medium
Maize,Rusty orange pustules,Common Rust,High
Mango,Black lesions,Anthracnose,High
Cotton,"Stunted growth, Yellow leaves, Wilting stems",Wilt,High
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,Medium
Maize,Rusty orange pustules,Common Rust,Medium
Maize,"Black lesions, Wilting stems",Leaf Blight,High
